,GENE,GENE_ID
1025,CTC-308K20.1KIAA0196,ENSG00000204758ENSG00000164961
1026,CTC-308K20.1OC90,ENSG00000204758ENSG00000253117
1027,RPL26L1OC90,ENSG00000037241ENSG00000253117
1028,RPL26L1TMEM71,ENSG00000037241ENSG00000165071
1030,CTC-308K20.2TMEM71,ENSG00000254295ENSG00000165071
1032,CTC-308K20.1TMEM71,ENSG00000204758ENSG00000165071
1034,DRD1TMEM71,ENSG00000184845ENSG00000165071
1035,SFXN1TMEM71,ENSG00000164466ENSG00000165071
1037,SFXN1KHDRBS3,ENSG00000164466ENSG00000131773
1038,KIAA1191KHDRBS3,ENSG00000122203ENSG00000131773
1039,KIAA1191RP11-343P9.1,ENSG00000122203ENSG00000254372
1041,RP11-843P14.2KHDRBS3,ENSG00000250909ENSG00000131773
1042,KIAA1191JRK,ENSG00000122203ENSG00000234616
1044,NSD1PSCA,ENSG00000165671ENSG00000167653
1045,NSD1JRK,ENSG00000165671ENSG00000234616
1050,NSD1LY6K,ENSG00000165671ENSG00000160886
1056,NSD1LY6D,ENSG00000165671ENSG00000167656
1057,NSD1RP11-706C16.8,ENSG00000165671ENSG00000253715
1058,LMAN2LY6D,ENSG00000169223ENSG00000167656
1061,LMAN2GPIHBP1,ENSG00000169223ENSG00000182851
1062,LMAN2GLI4,ENSG00000169223ENSG00000250571
1064,LMAN2RP13-582O9.5,ENSG00000169223ENSG00000253716
1066,RN7SL562PGLI4,ENSG00000266089ENSG00000250571
1067,TMED9RP13-582O9.5,ENSG00000184840ENSG00000253716
1069,TMED9GLI4,ENSG00000184840ENSG00000250571
1075,NHP2RP13-582O9.5,ENSG00000145912ENSG00000253716
1076,NHP2GLI4,ENSG00000145912ENSG00000250571
1079,NHP2RP11-661A12.14,ENSG00000145912ENSG00000271912
1080,NHP2ZNF623,ENSG00000145912ENSG00000183309
1081,HNRNPABZNF623,ENSG00000197451ENSG00000183309
1082,HNRNPABRNU7-109P,ENSG00000197451ENSG00000252075
1084,HNRNPABRP11-429J17.2,ENSG00000197451ENSG00000181097
1085,HNRNPABCTD-2311B13.8,ENSG00000197451ENSG00000257868
1086,HNRNPABRP11-244H18.1,ENSG00000197451ENSG00000258276
1087,HNRNPABOR4K2,ENSG00000197451ENSG00000165762
1088,RNU1-39POR4K2,ENSG00000206624ENSG00000165762
1089,ZNF354COR4K15,ENSG00000177932ENSG00000169488
1090,ZNF354COR4K17,ENSG00000177932ENSG00000176230
1091,RP11-281O15.7OR4N5,ENSG00000253144ENSG00000184394
1092,RP11-1379J22.2RNA5SP381,ENSG00000244945ENSG00000251885
1093,RP11-1379J22.2PSMB7P1,ENSG00000244945ENSG00000259074
1094,CBY3OR11G2,ENSG00000204659ENSG00000196832
1095,HMGB3P22CCNB1IP1,ENSG00000225051ENSG00000100814
1096,CTC-241N9.1CCNB1IP1,ENSG00000245317ENSG00000100814
1097,C5orf45CCNB1IP1,ENSG00000161010ENSG00000100814
1098,ZFP62CCNB1IP1,ENSG00000196670ENSG00000100814
1106,ZMYM5CCNB1IP1,ENSG00000132950ENSG00000100814
1109,ZMYM5RPPH1,ENSG00000132950ENSG00000259001
1110,ZMYM5RP11-203M5.2,ENSG00000132950ENSG00000254846
1112,ZMYM5RNASE9,ENSG00000132950ENSG00000188655
1116,GJB6RNASE9,ENSG00000121742ENSG00000188655
1122,GJB6RNASE4,ENSG00000121742ENSG00000258818
1123,GJB6ANG,ENSG00000121742ENSG00000214274
1124,IFT88ANG,ENSG00000032742ENSG00000214274
1125,IFT88RNASE4,ENSG00000032742ENSG00000258818
1126,IFT88AL163636.6,ENSG00000032742ENSG00000259171
1128,IFT88RP11-903H12.3,ENSG00000032742ENSG00000258451
1131,IFT88TPPP2,ENSG00000032742ENSG00000179636
1132,IFT88RNASE13,ENSG00000032742ENSG00000206150
1133,IFT88NDRG2,ENSG00000032742ENSG00000165795
1136,RNU2-7PTPPP2,ENSG00000222726ENSG00000179636
1140,SACSTPPP2,ENSG00000151835ENSG00000179636
1141,SACSRP11-998D10.1,ENSG00000151835ENSG00000255472
1143,SACSAL161668.5,ENSG00000151835ENSG00000258604
1147,SACSNDRG2,ENSG00000151835ENSG00000165795
1150,AL359538.2RN7SL650P,ENSG00000266216ENSG00000263621
1151,RP11-556N21.1TRAV9-1,ENSG00000243008ENSG00000211783
1152,PSPC1P2TRAV13-1,ENSG00000244615ENSG00000211788
1153,ATP12ATRAV12-2,ENSG00000075673ENSG00000211789
1154,ATP12ATRAV13-2,ENSG00000075673ENSG00000211791
1155,RNF6TRAV30,ENSG00000127870ENSG00000259092
1156,RNF6TRAV38-1,ENSG00000127870ENSG00000211816
1157,RNF6TRAJ61,ENSG00000127870ENSG00000211831
1158,RNF6TRAJ59,ENSG00000127870ENSG00000211832
1159,RNF6TRAJ58,ENSG00000127870ENSG00000211833
1160,RNF6TRAJ57,ENSG00000127870ENSG00000211834
1161,RNF6TRAJ56,ENSG00000127870ENSG00000211835
1162,WASF3TRAJ54,ENSG00000132970ENSG00000211836
1163,WASF3TRAJ53,ENSG00000132970ENSG00000211837
1164,WASF3TRAJ60,ENSG00000132970ENSG00000249446
1165,GPR12TRAJ55,ENSG00000132975ENSG00000250688
1166,GPR12AE000661.37,ENSG00000132975ENSG00000251002
1167,USP12AE000661.37,ENSG00000152484ENSG00000251002
1168,RASL11ATRAJ54,ENSG00000122035ENSG00000211836
1169,RASL11ATRAJ53,ENSG00000122035ENSG00000211837
1170,RASL11ATRAJ52,ENSG00000122035ENSG00000211838
1171,POLR1DTRAJ50,ENSG00000186184ENSG00000211839
1172,POLR1DTRAJ49,ENSG00000186184ENSG00000211840
1173,POLR1DTRAJ48,ENSG00000186184ENSG00000211841
1174,POLR1DTRAJ51,ENSG00000186184ENSG00000248366
1175,POLR1DTRAJ55,ENSG00000186184ENSG00000250688
1176,URADAE000661.37,ENSG00000183463ENSG00000251002
1177,KATNAL1TRAJ3,ENSG00000102781ENSG00000211886
1178,KATNAL1TRAJ2,ENSG00000102781ENSG00000211887
